,vbias,rbias,ibias,ibias_meas,counts,vtrig,count_time,count_rate,att_db,delay,port
0,0,100000,0,-3.58E-08,0,0.03,0.5,0,20,0.1,1
1,0.0025,100000,2.50E-08,-3.75E-08,0,0.03,0.5,0,20,0.1,1
2,0.005,100000,5.00E-08,-1.80E-08,0,0.03,0.5,0,20,0.1,1
3,0.0075,100000,7.50E-08,1.21E-08,0,0.03,0.5,0,20,0.1,1
4,0.01,100000,1.00E-07,3.22E-08,0,0.03,0.5,0,20,0.1,1
5,0.0125,100000,1.25E-07,6.23E-08,0,0.03,0.5,0,20,0.1,1
6,0.015,100000,1.50E-07,8.22E-08,0,0.03,0.5,0,20,0.1,1
7,0.0175,100000,1.75E-07,1.12E-07,0,0.03,0.5,0,20,0.1,1
8,0.02,100000,2.00E-07,1.32E-07,0,0.03,0.5,0,20,0.1,1
9,0.0225,100000,2.25E-07,1.62E-07,0,0.03,0.5,0,20,0.1,1
10,0.025,100000,2.50E-07,1.83E-07,0,0.03,0.5,0,20,0.1,1
11,0.0275,100000,2.75E-07,2.12E-07,0,0.03,0.5,0,20,0.1,1
12,0.03,100000,3.00E-07,2.33E-07,0,0.03,0.5,0,20,0.1,1
13,0.0325,100000,3.25E-07,2.62E-07,0,0.03,0.5,0,20,0.1,1
14,0.035,100000,3.50E-07,2.82E-07,0,0.03,0.5,0,20,0.1,1
15,0.0375,100000,3.75E-07,3.12E-07,0,0.03,0.5,0,20,0.1,1
16,0.04,100000,4.00E-07,3.32E-07,0,0.03,0.5,0,20,0.1,1
17,0.0425,100000,4.25E-07,3.62E-07,0,0.03,0.5,0,20,0.1,1
18,0.045,100000,4.50E-07,3.82E-07,0,0.03,0.5,0,20,0.1,1
19,0.0475,100000,4.75E-07,4.12E-07,0,0.03,0.5,0,20,0.1,1
20,0.05,100000,5.00E-07,4.32E-07,0,0.03,0.5,0,20,0.1,1
21,0.0525,100000,5.25E-07,4.62E-07,0,0.03,0.5,0,20,0.1,1
22,0.055,100000,5.50E-07,4.82E-07,0,0.03,0.5,0,20,0.1,1
23,0.0575,100000,5.75E-07,5.12E-07,0,0.03,0.5,0,20,0.1,1
24,0.06,100000,6.00E-07,5.31E-07,0,0.03,0.5,0,20,0.1,1
25,0.0625,100000,6.25E-07,5.61E-07,0,0.03,0.5,0,20,0.1,1
26,0.065,100000,6.50E-07,5.81E-07,0,0.03,0.5,0,20,0.1,1
27,0.0675,100000,6.75E-07,6.12E-07,0,0.03,0.5,0,20,0.1,1
28,0.07,100000,7.00E-07,6.32E-07,0,0.03,0.5,0,20,0.1,1
29,0.0725,100000,7.25E-07,6.62E-07,0,0.03,0.5,0,20,0.1,1
30,0.075,100000,7.50E-07,6.82E-07,0,0.03,0.5,0,20,0.1,1
31,0.0775,100000,7.75E-07,7.13E-07,0,0.03,0.5,0,20,0.1,1
32,0.08,100000,8.00E-07,7.32E-07,0,0.03,0.5,0,20,0.1,1
33,0.0825,100000,8.25E-07,7.62E-07,0,0.03,0.5,0,20,0.1,1
34,0.085,100000,8.50E-07,7.82E-07,0,0.03,0.5,0,20,0.1,1
35,0.0875,100000,8.75E-07,8.12E-07,0,0.03,0.5,0,20,0.1,1
36,0.09,100000,9.00E-07,8.32E-07,0,0.03,0.5,0,20,0.1,1
37,0.0925,100000,9.25E-07,8.62E-07,0,0.03,0.5,0,20,0.1,1
38,0.095,100000,9.50E-07,8.82E-07,0,0.03,0.5,0,20,0.1,1
39,0.0975,100000,9.75E-07,9.12E-07,0,0.03,0.5,0,20,0.1,1
40,0.1,100000,1.00E-06,9.32E-07,0,0.03,0.5,0,20,0.1,1
41,0.1025,100000,1.03E-06,9.62E-07,0,0.03,0.5,0,20,0.1,1
42,0.105,100000,1.05E-06,9.82E-07,0,0.03,0.5,0,20,0.1,1
43,0.1075,100000,1.08E-06,1.01E-06,0,0.03,0.5,0,20,0.1,1
44,0.11,100000,1.10E-06,1.03E-06,0,0.03,0.5,0,20,0.1,1
45,0.1125,100000,1.13E-06,1.06E-06,0,0.03,0.5,0,20,0.1,1
46,0.115,100000,1.15E-06,1.08E-06,0,0.03,0.5,0,20,0.1,1
47,0.1175,100000,1.18E-06,1.11E-06,0,0.03,0.5,0,20,0.1,1
48,0.12,100000,1.20E-06,1.13E-06,0,0.03,0.5,0,20,0.1,1
49,0.1225,100000,1.23E-06,1.16E-06,0,0.03,0.5,0,20,0.1,1
50,0.125,100000,1.25E-06,1.18E-06,0,0.03,0.5,0,20,0.1,1
51,0.1275,100000,1.28E-06,1.21E-06,0,0.03,0.5,0,20,0.1,1
52,0.13,100000,1.30E-06,1.23E-06,0,0.03,0.5,0,20,0.1,1
53,0.1325,100000,1.33E-06,1.26E-06,0,0.03,0.5,0,20,0.1,1
54,0.135,100000,1.35E-06,1.28E-06,0,0.03,0.5,0,20,0.1,1
55,0.1375,100000,1.38E-06,1.31E-06,0,0.03,0.5,0,20,0.1,1
56,0.14,100000,1.40E-06,1.33E-06,0,0.03,0.5,0,20,0.1,1
57,0.1425,100000,1.43E-06,1.36E-06,0,0.03,0.5,0,20,0.1,1
58,0.145,100000,1.45E-06,1.38E-06,0,0.03,0.5,0,20,0.1,1
59,0.1475,100000,1.48E-06,1.41E-06,0,0.03,0.5,0,20,0.1,1
60,0.15,100000,1.50E-06,1.43E-06,0,0.03,0.5,0,20,0.1,1
61,0.1525,100000,1.53E-06,1.46E-06,0,0.03,0.5,0,20,0.1,1
62,0.155,100000,1.55E-06,1.48E-06,0,0.03,0.5,0,20,0.1,1
63,0.1575,100000,1.58E-06,1.51E-06,0,0.03,0.5,0,20,0.1,1
64,0.16,100000,1.60E-06,1.53E-06,0,0.03,0.5,0,20,0.1,1
65,0.1625,100000,1.63E-06,1.56E-06,0,0.03,0.5,0,20,0.1,1
66,0.165,100000,1.65E-06,1.58E-06,0,0.03,0.5,0,20,0.1,1
67,0.1675,100000,1.68E-06,1.61E-06,0,0.03,0.5,0,20,0.1,1
68,0.17,100000,1.70E-06,1.63E-06,0,0.03,0.5,0,20,0.1,1
69,0.1725,100000,1.73E-06,1.66E-06,0,0.03,0.5,0,20,0.1,1
70,0.175,100000,1.75E-06,1.68E-06,0,0.03,0.5,0,20,0.1,1
71,0.1775,100000,1.78E-06,1.71E-06,0,0.03,0.5,0,20,0.1,1
72,0.18,100000,1.80E-06,1.73E-06,0,0.03,0.5,0,20,0.1,1
73,0.1825,100000,1.83E-06,1.76E-06,0,0.03,0.5,0,20,0.1,1
74,0.185,100000,1.85E-06,1.78E-06,0,0.03,0.5,0,20,0.1,1
75,0.1875,100000,1.88E-06,1.81E-06,0,0.03,0.5,0,20,0.1,1
76,0.19,100000,1.90E-06,1.83E-06,0,0.03,0.5,0,20,0.1,1
77,0.1925,100000,1.93E-06,1.86E-06,0,0.03,0.5,0,20,0.1,1
78,0.195,100000,1.95E-06,1.88E-06,0,0.03,0.5,0,20,0.1,1
79,0.1975,100000,1.98E-06,1.91E-06,0,0.03,0.5,0,20,0.1,1
80,0.2,100000,2.00E-06,1.93E-06,0,0.03,0.5,0,20,0.1,1
81,0.2025,100000,2.03E-06,1.96E-06,0,0.03,0.5,0,20,0.1,1
82,0.205,100000,2.05E-06,1.98E-06,0,0.03,0.5,0,20,0.1,1
83,0.2075,100000,2.08E-06,2.01E-06,0,0.03,0.5,0,20,0.1,1
84,0.21,100000,2.10E-06,2.03E-06,0,0.03,0.5,0,20,0.1,1
85,0.2125,100000,2.13E-06,2.06E-06,0,0.03,0.5,0,20,0.1,1
86,0.215,100000,2.15E-06,2.08E-06,0,0.03,0.5,0,20,0.1,1
87,0.2175,100000,2.18E-06,2.11E-06,0,0.03,0.5,0,20,0.1,1
88,0.22,100000,2.20E-06,2.13E-06,0,0.03,0.5,0,20,0.1,1
89,0.2225,100000,2.23E-06,2.16E-06,0,0.03,0.5,0,20,0.1,1
90,0.225,100000,2.25E-06,2.18E-06,0,0.03,0.5,0,20,0.1,1
91,0.2275,100000,2.28E-06,2.21E-06,0,0.03,0.5,0,20,0.1,1
92,0.23,100000,2.30E-06,2.23E-06,0,0.03,0.5,0,20,0.1,1
93,0.2325,100000,2.33E-06,2.26E-06,1,0.03,0.5,2,20,0.1,1
94,0.235,100000,2.35E-06,2.28E-06,0,0.03,0.5,0,20,0.1,1
95,0.2375,100000,2.38E-06,2.31E-06,0,0.03,0.5,0,20,0.1,1
96,0.24,100000,2.40E-06,2.33E-06,0,0.03,0.5,0,20,0.1,1
97,0.2425,100000,2.43E-06,2.36E-06,0,0.03,0.5,0,20,0.1,1
98,0.245,100000,2.45E-06,2.38E-06,0,0.03,0.5,0,20,0.1,1
99,0.2475,100000,2.48E-06,2.41E-06,0,0.03,0.5,0,20,0.1,1
100,0.25,100000,2.50E-06,2.43E-06,0,0.03,0.5,0,20,0.1,1
101,0.2525,100000,2.53E-06,2.46E-06,1,0.03,0.5,2,20,0.1,1
102,0.255,100000,2.55E-06,2.48E-06,1,0.03,0.5,2,20,0.1,1
103,0.2575,100000,2.58E-06,2.51E-06,0,0.03,0.5,0,20,0.1,1
104,0.26,100000,2.60E-06,2.53E-06,0,0.03,0.5,0,20,0.1,1
105,0.2625,100000,2.63E-06,2.56E-06,2,0.03,0.5,4,20,0.1,1
106,0.265,100000,2.65E-06,2.58E-06,0,0.03,0.5,0,20,0.1,1
107,0.2675,100000,2.68E-06,2.61E-06,3,0.03,0.5,6,20,0.1,1
108,0.27,100000,2.70E-06,2.63E-06,0,0.03,0.5,0,20,0.1,1
109,0.2725,100000,2.73E-06,2.66E-06,4,0.03,0.5,8,20,0.1,1
110,0.275,100000,2.75E-06,2.68E-06,5,0.03,0.5,10,20,0.1,1
111,0.2775,100000,2.78E-06,2.71E-06,4,0.03,0.5,8,20,0.1,1
112,0.28,100000,2.80E-06,2.73E-06,10,0.03,0.5,20,20,0.1,1
113,0.2825,100000,2.83E-06,2.76E-06,11,0.03,0.5,22,20,0.1,1
114,0.285,100000,2.85E-06,2.78E-06,26,0.03,0.5,52,20,0.1,1
115,0.2875,100000,2.88E-06,2.81E-06,32,0.03,0.5,64,20,0.1,1
116,0.29,100000,2.90E-06,2.83E-06,56,0.03,0.5,112,20,0.1,1
117,0.2925,100000,2.93E-06,2.86E-06,72,0.03,0.5,144,20,0.1,1
118,0.295,100000,2.95E-06,2.88E-06,127,0.03,0.5,254,20,0.1,1
119,0.2975,100000,2.98E-06,2.91E-06,160,0.03,0.5,320,20,0.1,1
120,0.3,100000,3.00E-06,2.93E-06,260,0.03,0.5,520,20,0.1,1
121,0.3025,100000,3.03E-06,2.96E-06,339,0.03,0.5,678,20,0.1,1
122,0.305,100000,3.05E-06,2.98E-06,453,0.03,0.5,906,20,0.1,1
123,0.3075,100000,3.08E-06,3.01E-06,603,0.03,0.5,1206,20,0.1,1
124,0.31,100000,3.10E-06,3.03E-06,845,0.03,0.5,1690,20,0.1,1
125,0.3125,100000,3.13E-06,3.06E-06,1046,0.03,0.5,2092,20,0.1,1
126,0.315,100000,3.15E-06,3.08E-06,1349,0.03,0.5,2698,20,0.1,1
127,0.3175,100000,3.18E-06,3.11E-06,1514,0.03,0.5,3028,20,0.1,1
128,0.32,100000,3.20E-06,3.13E-06,2098,0.03,0.5,4196,20,0.1,1
129,0.3225,100000,3.23E-06,3.16E-06,2242,0.03,0.5,4484,20,0.1,1
130,0.325,100000,3.25E-06,3.18E-06,2717,0.03,0.5,5434,20,0.1,1
131,0.3275,100000,3.28E-06,3.21E-06,3023,0.03,0.5,6046,20,0.1,1
132,0.33,100000,3.30E-06,3.23E-06,3571,0.03,0.5,7142,20,0.1,1
133,0.3325,100000,3.33E-06,3.26E-06,4168,0.03,0.5,8336,20,0.1,1
134,0.335,100000,3.35E-06,3.28E-06,4598,0.03,0.5,9196,20,0.1,1
135,0.3375,100000,3.38E-06,3.31E-06,4983,0.03,0.5,9966,20,0.1,1
136,0.34,100000,3.40E-06,3.33E-06,5841,0.03,0.5,11682,20,0.1,1
137,0.3425,100000,3.43E-06,3.36E-06,6431,0.03,0.5,12862,20,0.1,1
138,0.345,100000,3.45E-06,3.38E-06,7078,0.03,0.5,14156,20,0.1,1
139,0.3475,100000,3.48E-06,3.41E-06,7816,0.03,0.5,15632,20,0.1,1
140,0.35,100000,3.50E-06,3.43E-06,8789,0.03,0.5,17578,20,0.1,1
141,0.3525,100000,3.53E-06,3.46E-06,9490,0.03,0.5,18980,20,0.1,1
142,0.355,100000,3.55E-06,3.48E-06,10316,0.03,0.5,20632,20,0.1,1
143,0.3575,100000,3.58E-06,3.51E-06,11373,0.03,0.5,22746,20,0.1,1
144,0.36,100000,3.60E-06,3.53E-06,12131,0.03,0.5,24262,20,0.1,1
145,0.3625,100000,3.63E-06,3.56E-06,13176,0.03,0.5,26352,20,0.1,1
146,0.365,100000,3.65E-06,3.58E-06,14347,0.03,0.5,28694,20,0.1,1
147,0.3675,100000,3.68E-06,3.61E-06,15316,0.03,0.5,30632,20,0.1,1
148,0.37,100000,3.70E-06,3.63E-06,16641,0.03,0.5,33282,20,0.1,1
149,0.3725,100000,3.73E-06,3.66E-06,17446,0.03,0.5,34892,20,0.1,1
150,0.375,100000,3.75E-06,3.68E-06,18928,0.03,0.5,37856,20,0.1,1
151,0.3775,100000,3.78E-06,3.71E-06,20170,0.03,0.5,40340,20,0.1,1
152,0.38,100000,3.80E-06,3.73E-06,21502,0.03,0.5,43004,20,0.1,1
153,0.3825,100000,3.83E-06,3.76E-06,22384,0.03,0.5,44768,20,0.1,1
154,0.385,100000,3.85E-06,3.78E-06,23995,0.03,0.5,47990,20,0.1,1
155,0.3875,100000,3.88E-06,3.81E-06,25087,0.03,0.5,50174,20,0.1,1
156,0.39,100000,3.90E-06,3.83E-06,26576,0.03,0.5,53152,20,0.1,1
157,0.3925,100000,3.93E-06,3.86E-06,27602,0.03,0.5,55204,20,0.1,1
158,0.395,100000,3.95E-06,3.88E-06,29094,0.03,0.5,58188,20,0.1,1
159,0.3975,100000,3.98E-06,3.91E-06,30373,0.03,0.5,60746,20,0.1,1
160,0.4,100000,4.00E-06,3.93E-06,31974,0.03,0.5,63948,20,0.1,1
161,0.4025,100000,4.03E-06,3.96E-06,32677,0.03,0.5,65354,20,0.1,1
162,0.405,100000,4.05E-06,3.98E-06,34094,0.03,0.5,68188,20,0.1,1
163,0.4075,100000,4.08E-06,4.01E-06,35278,0.03,0.5,70556,20,0.1,1
164,0.41,100000,4.10E-06,4.03E-06,36996,0.03,0.5,73992,20,0.1,1
165,0.4125,100000,4.13E-06,4.06E-06,37827,0.03,0.5,75654,20,0.1,1
166,0.415,100000,4.15E-06,4.08E-06,39458,0.03,0.5,78916,20,0.1,1
