,vbias,rbias,ibias,ibias_meas,counts,vtrig,count_time,count_rate,att_db,delay,port
72,0.18,100000,1.80E-06,1.73E-06,0,0.03,0.5,0,20,0.1,4
73,0.1825,100000,1.83E-06,1.76E-06,0,0.03,0.5,0,20,0.1,4
74,0.185,100000,1.85E-06,1.78E-06,0,0.03,0.5,0,20,0.1,4
75,0.1875,100000,1.88E-06,1.81E-06,0,0.03,0.5,0,20,0.1,4
76,0.19,100000,1.90E-06,1.83E-06,0,0.03,0.5,0,20,0.1,4
77,0.1925,100000,1.93E-06,1.86E-06,0,0.03,0.5,0,20,0.1,4
78,0.195,100000,1.95E-06,1.88E-06,0,0.03,0.5,0,20,0.1,4
79,0.1975,100000,1.98E-06,1.91E-06,0,0.03,0.5,0,20,0.1,4
80,0.2,100000,2.00E-06,1.93E-06,0,0.03,0.5,0,20,0.1,4
81,0.2025,100000,2.03E-06,1.96E-06,0,0.03,0.5,0,20,0.1,4
82,0.205,100000,2.05E-06,1.98E-06,0,0.03,0.5,0,20,0.1,4
83,0.2075,100000,2.08E-06,2.01E-06,0,0.03,0.5,0,20,0.1,4
84,0.21,100000,2.10E-06,2.03E-06,0,0.03,0.5,0,20,0.1,4
85,0.2125,100000,2.13E-06,2.06E-06,0,0.03,0.5,0,20,0.1,4
86,0.215,100000,2.15E-06,2.08E-06,0,0.03,0.5,0,20,0.1,4
87,0.2175,100000,2.18E-06,2.11E-06,0,0.03,0.5,0,20,0.1,4
88,0.22,100000,2.20E-06,2.13E-06,0,0.03,0.5,0,20,0.1,4
89,0.2225,100000,2.23E-06,2.16E-06,0,0.03,0.5,0,20,0.1,4
90,0.225,100000,2.25E-06,2.18E-06,0,0.03,0.5,0,20,0.1,4
91,0.2275,100000,2.28E-06,2.21E-06,0,0.03,0.5,0,20,0.1,4
92,0.23,100000,2.30E-06,2.23E-06,0,0.03,0.5,0,20,0.1,4
93,0.2325,100000,2.33E-06,2.26E-06,0,0.03,0.5,0,20,0.1,4
94,0.235,100000,2.35E-06,2.28E-06,0,0.03,0.5,0,20,0.1,4
95,0.2375,100000,2.38E-06,2.31E-06,0,0.03,0.5,0,20,0.1,4
96,0.24,100000,2.40E-06,2.33E-06,0,0.03,0.5,0,20,0.1,4
97,0.2425,100000,2.43E-06,2.36E-06,0,0.03,0.5,0,20,0.1,4
98,0.245,100000,2.45E-06,2.38E-06,0,0.03,0.5,0,20,0.1,4
99,0.2475,100000,2.48E-06,2.41E-06,0,0.03,0.5,0,20,0.1,4
100,0.25,100000,2.50E-06,2.43E-06,0,0.03,0.5,0,20,0.1,4
101,0.2525,100000,2.53E-06,2.46E-06,0,0.03,0.5,0,20,0.1,4
102,0.255,100000,2.55E-06,2.48E-06,0,0.03,0.5,0,20,0.1,4
103,0.2575,100000,2.58E-06,2.51E-06,0,0.03,0.5,0,20,0.1,4
104,0.26,100000,2.60E-06,2.53E-06,0,0.03,0.5,0,20,0.1,4
105,0.2625,100000,2.63E-06,2.56E-06,0,0.03,0.5,0,20,0.1,4
106,0.265,100000,2.65E-06,2.58E-06,0,0.03,0.5,0,20,0.1,4
107,0.2675,100000,2.68E-06,2.61E-06,0,0.03,0.5,0,20,0.1,4
108,0.27,100000,2.70E-06,2.63E-06,1,0.03,0.5,2,20,0.1,4
109,0.2725,100000,2.73E-06,2.66E-06,2,0.03,0.5,4,20,0.1,4
110,0.275,100000,2.75E-06,2.68E-06,1,0.03,0.5,2,20,0.1,4
111,0.2775,100000,2.78E-06,2.71E-06,0,0.03,0.5,0,20,0.1,4
112,0.28,100000,2.80E-06,2.73E-06,0,0.03,0.5,0,20,0.1,4
113,0.2825,100000,2.83E-06,2.76E-06,2,0.03,0.5,4,20,0.1,4
