Temperature (K),Channel 1 Resistance,Channel 1 Current (uA)
3.344046,4426.126465,0.000625
3.355997,4499.632813,0.000625
3.364544,4683.398438,0.000625
3.371362,4872.415039,0.000625
3.378121,5169.78125,0.000625
3.389317,5369.773926,0.000625
3.395714,5575.496094,0.000625
3.404779,6263.303711,0.000625
3.412227,6743.483398,0.000625
3.418893,7516.72998,0.000625
3.430564,8415.032227,0.000625
3.439593,9747.691406,0.000625
3.446547,11634.0332,0.000625
3.452757,13931.34082,0.000625
3.464056,17560.83398,0.000625
3.472275,22500.54688,0.000625
3.479748,31083.59961,0.000625
3.486347,43090.41016,0.000625
3.498392,61054.09766,0.000625
3.507307,86229.67969,0.000625
3.51425,120668.4844,0.000625
3.520825,164098.6406,0.000625
3.527595,220246.5469,0.000625
3.539391,289875.75,0.000625
3.547849,366545.5938,0.000625
3.554315,450275.7188,0.000625
3.561614,550703.375,0.000625
3.573137,650343.5625,0.000625
3.581868,752953.3125,0.000625
3.589087,856943.875,0.000625
3.595833,951419.0625,0.000625
3.6074,1046290.563,0.000625
3.614285,1131334.125,0.000625
3.62319,1211964.625,0.000625
3.629775,1287430.125,0.000625
3.636718,1346373.125,0.000625
3.647901,1419221.875,0.000625
3.657152,1477704.875,0.000625
3.663693,1529942.875,0.000625
3.670475,1580910.75,0.000625
3.682153,1624133.5,0.000625
3.690584,1669736.625,0.000625
3.697438,1708905.75,0.000625
3.704618,1744956.875,0.000625
3.716033,1780126.25,0.000625
3.725145,1816581.75,0.000625
3.732123,1845746.875,0.000625
3.738652,1871002.125,0.000625
3.745428,1895259.25,0.000625
3.756584,1921848.875,0.000625
3.765411,1947154.25,0.000625
3.772231,1963411.125,0.000625
3.779356,1985618.75,0.000625
3.790934,2007466.5,0.000625
3.799709,2028804.625,0.000625
3.806489,2043756.5,0.000625
3.813023,2063076.875,0.000625
3.824999,2072459.375,0.000625
3.831971,2094335,0.000625
3.839875,2106938.25,0.000625
3.846756,2124170,0.000625
3.854049,2136222.75,0.000625
3.865652,2143077.75,0.000625
3.874505,2157321.75,0.000625
3.881444,2171796.25,0.000625
3.888492,2181544.25,0.000625
3.900119,2193382.25,0.000625
3.90859,2206046,0.000625
3.91522,2212497.75,0.000625
3.922377,2222992.25,0.000625
3.933849,2234428.5,0.000625
3.940753,2249762.5,0.000625
3.949253,2251284,0.000625
3.95608,2262660,0.000625
3.962802,2270412.25,0.000625
3.974593,2276368.5,0.000625
3.983402,2290204,0.000625
3.989659,2296429,0.000625
3.997032,2303124,0.000625
4.008815,2310224.5,0.000625
4.017538,2308319.25,0.000625
4.024343,2322312.75,0.000625
4.031005,2324076.5,0.000625
4.042774,2333658.75,0.000625
4.049781,2342271.75,0.000625
4.058493,2344041,0.000625
4.065056,2353963,0.000625
4.071915,2356813.25,0.000625
4.083449,2363207.25,0.000625
4.091761,2368994.25,0.000625
4.099423,2377824.5,0.000625
4.105823,2377655,0.000625
4.117325,2381847.25,0.000625
4.126066,2387370.75,0.000625
4.132952,2394958.75,0.000625
4.139828,2402659.75,0.000625
4.146534,2405127,0.000625
4.158751,2415572.25,0.000625
4.166927,2412620.75,0.000625
4.173796,2417741.25,0.000625
4.180914,2426347,0.000625
4.192425,2424068.25,0.000625
4.201419,2432418.25,0.000625
4.208182,2439102.5,0.000625
4.215131,2439491,0.000625
4.226761,2444979.75,0.000625
4.235423,2446472.75,0.000625
4.241951,2453123.75,0.000625
4.248797,2455233.25,0.000625
4.260365,2461998.5,0.000625
4.268932,2466871.25,0.000625
4.276242,2464829.25,0.000625
4.282921,2469397,0.000625
4.28989,2475148.75,0.000625
4.30134,2483437.75,0.000625
4.310357,2483956,0.000625
4.316977,2485733.5,0.000625
4.324213,2490636.25,0.000625
4.335858,2494938.75,0.000625
4.344419,2496830.75,0.000625
4.351703,2498210,0.000625
4.357928,2503788,0.000625
4.369703,2507594,0.000625
4.378248,2507175,0.000625
4.38517,2509530,0.000625
4.391814,2514686.25,0.000625
4.398747,2517926.5,0.000625
4.410128,2521591.75,0.000625
4.419133,2518888,0.000625
4.426105,2522747,0.000625
4.43289,2527639.75,0.000625
4.444381,2528840.25,0.000625
4.453308,2534550,0.000625
4.459946,2534809.75,0.000625
4.466722,2541136.75,0.000625
4.478643,2541403.25,0.000625
4.48746,2546889,0.000625
4.493805,2542355.5,0.000625
4.50053,2542595.5,0.000625
4.507492,2550989.25,0.000625
4.519645,2552569,0.000625
4.528202,2559694.25,0.000625
4.534799,2564069,0.000625
4.541891,2562130.5,0.000625
4.553151,2567391,0.000625
4.561843,2570331.75,0.000625
4.568746,2574860,0.000625
4.575541,2572602,0.000625
4.587558,2574131.75,0.000625
4.596437,2579030.5,0.000625
4.602929,2581084.5,0.000625
4.609766,2582484.75,0.000625
4.616837,2582006.25,0.000625
4.628359,2584997.5,0.000625
4.637435,2592816,0.000625
4.644019,2593762.25,0.000625
4.650713,2592697.25,0.000625
4.662297,2595912.75,0.000625
4.671207,2595304.75,0.000625
4.678311,2600700,0.000625
4.685162,2597270.5,0.000625
4.696568,2598868,0.000625
4.703263,2604865.5,0.000625
4.71209,2603943.75,0.000625
4.718812,2605464.5,0.000625
4.730883,2607661.5,0.000625
4.73748,2608345.25,0.000625
4.746116,2611641,0.000625
4.752892,2610144.5,0.000625
4.759427,2617058.25,0.000625
4.771173,2618233.25,0.000625
4.779926,2619763,0.000625
4.786789,2617115.25,0.000625
4.793702,2617773,0.000625
4.805638,2620395.25,0.000625
4.81418,2619300.75,0.000625
4.820784,2625091.5,0.000625
4.827817,2629041.5,0.000625
4.839738,2625568.5,0.000625
4.84697,2626871.75,0.000625
4.855156,2633576.5,0.000625
4.86197,2630544.25,0.000625
4.868639,2634788.75,0.000625
4.880046,2638837.25,0.000625
4.888713,2632610,0.000625
4.895601,2634604.75,0.000625
4.902221,2643268,0.000625
4.914268,2638920.5,0.000625
4.922913,2640376.75,0.000625
4.929721,2645124.75,0.000625
4.936617,2645738,0.000625
4.943349,2648419.25,0.000625
4.955063,2646409.5,0.000625
4.963715,2651130,0.000625
4.970286,2648960.25,0.000625
4.977621,2656177.5,0.000625
4.989103,2650236.75,0.000625
4.997755,2653928.5,0.000625
5.004711,2655497.5,0.000625
5.011399,2659487,0.000625
5.023196,2653018,0.000625
5.032093,2657751.5,0.000625
5.038645,2659010.5,0.000625
5.045578,2660022,0.000625
5.052113,2659932.25,0.000625
5.06407,2660322,0.000625
5.072475,2662221,0.000625
5.079243,2662451.25,0.000625
5.086004,2663136.25,0.000625
5.098022,2663648.5,0.000625
5.106722,2665643.5,0.000625
5.113698,2663697.25,0.000625
5.120283,2667004,0.000625
5.132088,2670311,0.000625
5.140826,2667502.75,0.000625
5.147695,2667888,0.000625
5.154484,2673229.5,0.000625
5.165859,2668087.5,0.000625
5.172945,2671885.5,0.000625
5.18169,2674086.5,0.000625
5.188493,2671827.25,0.000625
5.19522,2673478,0.000625
5.206786,2676963.75,0.000625
5.215742,2678833.25,0.000625
5.222353,2671173.75,0.000625
5.22917,2679461,0.000625
5.240668,2680919,0.000625
5.249529,2681499,0.000625
5.255828,2685576,0.000625
5.262932,2688200.25,0.000625
5.269873,2683848.5,0.000625
5.281615,2684211.5,0.000625
5.290365,2682783.75,0.000625
5.297089,2682478.25,0.000625
5.303994,2690777.75,0.000625
5.315788,2682451.25,0.000625
5.324409,2688668,0.000625
5.331451,2713672.5,0.000625
5.338131,2689775,0.000625
5.349576,2696128.75,0.000625
5.356457,2697846.75,0.000625
5.365326,2692848.25,0.000625
5.372161,2695906.5,0.000625
5.383957,2691939.5,0.000625
5.390739,2700091.5,0.000625
5.399379,2697047.75,0.000625
5.406218,2700955.75,0.000625
5.412696,2699508.25,0.000625
5.4245,2699787.25,0.000625
5.433222,2701423.5,0.000625
5.440035,2701493,0.000625
5.446737,2701829.5,0.000625
5.458521,2701079,0.000625
5.467057,2702535.75,0.000625
5.473829,2704565.25,0.000625
5.480656,2708097,0.000625
5.487409,2705567.75,0.000625
5.499394,2709309,0.000625
5.507897,2703399.25,0.000625
5.515051,2711650.75,0.000625
5.521732,2707530,0.000625
5.533058,2707574.25,0.000625
5.542146,2706263,0.000625
5.548799,2710409.5,0.000625
5.555724,2710372.75,0.000625
5.567324,2706528.5,0.000625
5.576074,2709705,0.000625
5.582728,2710407.25,0.000625
5.589518,2707803.25,0.000625
5.601604,2713399.5,0.000625
5.608255,2715185,0.000625
5.61706,2717679.75,0.000625
5.623462,2715839.5,0.000625
5.630495,2718950.5,0.000625
5.641997,2717507.5,0.000625
5.650904,2717429.5,0.000625
5.657552,2719006.75,0.000625
5.664651,2717455,0.000625
5.676254,2719922,0.000625
5.685081,2717784.5,0.000625
5.69167,2719364.75,0.000625
5.698476,2719266.5,0.000625
5.710071,2719493.5,0.000625
5.716913,2722048,0.000625
5.725477,2719120.75,0.000625
5.73237,2723711.5,0.000625
5.739157,2723511,0.000625
5.750943,2720242.5,0.000625
5.759606,2723244.5,0.000625
5.766321,2720478.75,0.000625
5.773324,2724715.5,0.000625
5.785542,2730913,0.000625
5.794246,2727905,0.000625
5.801032,2730230.25,0.000625
5.807577,2727904,0.000625
5.819088,2727936.5,0.000625
5.825814,2729524,0.000625
5.834366,2726615,0.000625
5.841049,2731031.75,0.000625
5.847798,2733946.25,0.000625
5.859851,2730740.25,0.000625
5.868559,2725162.5,0.000625
5.875107,2731750.75,0.000625
5.882261,2732861.5,0.000625
5.893733,2733183.25,0.000625
5.902627,2730176.25,0.000625
5.909273,2733745.25,0.000625
5.916048,2733309.75,0.000625
5.922958,2736997.75,0.000625
5.934947,2734201.5,0.000625
5.945823,2735629.75,0.000625
5.979926,2735795,0.000625
5.995917,2741635,0.000625
6.009662,2737739.75,0.000625
6.01472,2735227.75,0.000625
6.016448,2737368.25,0.000625
6.016593,2740007.25,0.000625
6.015037,2742716,0.000625
6.012653,2741265.5,0.000625
6.0107,2741978.75,0.000625
6.008711,2737996.75,0.000625
6.005476,2740099.25,0.000625
6.003852,2737575.75,0.000625
6.00197,2736060.25,0.000625
6.000804,2741115.5,0.000625
6.000206,2735033.25,0.000625
5.999482,2736733.75,0.000625
5.999177,2733392.75,0.000625
5.999163,2736521.25,0.000625
5.999177,2736082.25,0.000625
5.999492,2738148.5,0.000625
5.999619,2730939.25,0.000625
5.999693,2735222,0.000625
6.000057,2733598,0.000625
6.000078,2731867.75,0.000625
6.000157,2738360.5,0.000625
6.000081,2736013,0.000625
6.000041,2736932.5,0.000625
6.000101,2732762.5,0.000625
6.000229,2731246,0.000625
6.000112,2733048.5,0.000625
6.00018,2729081,0.000625
6.000098,2737200.5,0.000625
6.000184,2732246.75,0.000625
5.99982,2735528,0.000625
6.000065,2736496,0.000625
6.000085,2732168.25,0.000625
5.999982,2735640.5,0.000625
6.000092,2734935,0.000625
5.999961,2738230.5,0.000625
6.00003,2732922.75,0.000625
5.999961,2733626.25,0.000625
6.000015,2732006.5,0.000625
5.999839,2734106,0.000625
5.999954,2734434,0.000625
6.000167,2734222,0.000625
5.999938,2736033.25,0.000625
5.999705,2730577.75,0.000625
5.999746,2735007,0.000625
5.999913,2731810.5,0.000625
5.999903,2734269.25,0.000625
5.999947,2732000.75,0.000625
5.999941,2735597.5,0.000625
5.999888,2736813.75,0.000625
5.999794,2735755.25,0.000625
6.000106,2729857.5,0.000625
6.000037,2732258.75,0.000625
6.000012,2733470.75,0.000625
6.00001,2735295.25,0.000625
5.999934,2737489.75,0.000625
6.000136,2733311.5,0.000625
5.999896,2730152.5,0.000625
6.000163,2731300.75,0.000625
6.00001,2731851.25,0.000625
6.000015,2731997.25,0.000625
